Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      744    0.016    0.000    0.044    0.000 ticker.py:803(_set_format)
  698/297    0.003    0.000    0.044    0.000 _parser.py:456(_parse_sub)
     5925    0.011    0.000    0.044    0.000 colors.py:275(to_rgba)
        1    0.000    0.000    0.044    0.044 mul.py:1(<module>)
   147874    0.044    0.000    0.044    0.000 reportviews.py:426(__call__)
        9    0.000    0.000    0.043    0.005 _base.py:732(__init_subclass__)
      496    0.004    0.000    0.043    0.000 transforms.py:651(union)
     3937    0.024    0.000    0.043    0.000 artist.py:180(__init__)
   234512    0.043    0.000    0.043    0.000 {method 'insert' of 'list' objects}
      434    0.001    0.000    0.043    0.000 backend_agg.py:94(draw_path)
        1    0.000    0.000    0.043    0.043 message_factory.py:1(<module>)
       31    0.001    0.000    0.043    0.001 VisualizationStage.py:43(__save_loop_ordering)
      186    0.000    0.000    0.043    0.000 axis.py:237(set_clip_path)
      668    0.001    0.000    0.043    0.000 parser.py:427(parse_block_mapping_key)
  847/334    0.018    0.000    0.043    0.000 _parser.py:516(_parse)
     1088    0.014    0.000    0.042    0.000 inspect.py:2331(_signature_from_function)
     6541    0.019    0.000    0.042    0.000 transforms.py:759(__init__)
    62/31    0.002    0.000    0.042    0.001 _base.py:2877(autoscale_view)
        1    0.000    0.000    0.042    0.042 cacti_parser.py:1(<module>)
       62    0.003    0.000    0.042    0.001 SpatialMappingConversionStage.py:192(generate_mapping_per_mem_lvl)
     5146    0.005    0.000    0.042    0.000 transforms.py:1350(__add__)
  688/540    0.000    0.000    0.042    0.000 validator.py:587(schema)
    20832    0.042    0.000    0.042    0.000 {method 'outer' of 'numpy.ufunc' objects}
    18271    0.029    0.000    0.042    0.000 layer_attributes.py:97(final_output_precision)
   109626    0.042    0.000    0.042    0.000 Mapping.py:102(<listcomp>)
        1    0.000    0.000    0.041    0.041 hub.py:1(<module>)
      434    0.032    0.000    0.041    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      682    0.002    0.000    0.041    0.000 artist.py:1226(_cm_set)
     2492    0.010    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.000    0.000    0.041    0.020 core.py:206(read_style_directory)
    18333    0.034    0.000    0.040    0.000 SpatialMappingInternal.py:83(<dictcomp>)
      527    0.001    0.000    0.039    0.000 lines.py:1034(get_path)
      124    0.001    0.000    0.039    0.000 _axes.py:670(text)
        1    0.000    0.000    0.039    0.039 slice.py:1(<module>)
      527    0.010    0.000    0.039    0.000 lines.py:671(recache)
    19131    0.025    0.000    0.039    0.000 __init__.py:1467(debug)
      744    0.020    0.000    0.039    0.000 numeric.py:2315(isclose)
   323324    0.038    0.000    0.038    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.038    0.038 port_activity.py:1(<module>)
    11718    0.013    0.000    0.038    0.000 cbook.py:924(get_siblings)
        1    0.000    0.000    0.038    0.038 descriptor_pool.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _linalg.py:1(<module>)
      549    0.001    0.000    0.038    0.000 parser.py:446(parse_block_mapping_value)
       31    0.001    0.000    0.038    0.001 print_mapping.py:55(print_mapping)
      135    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1659(_fill_cache)
      149    0.038    0.000    0.038    0.000 {built-in method posix.listdir}
   125/16    0.001    0.000    0.037    0.002 validator.py:1510(__validate_schema_sequence)
   124/62    0.002    0.000    0.037    0.001 _base.py:2936(handle_single_axis)
        1    0.000    0.000    0.037    0.037 matexpr.py:1(<module>)
     5146    0.007    0.000    0.036    0.000 transforms.py:2517(composite_transform_factory)
    54813    0.029    0.000    0.036    0.000 MemoryAllocator.py:64(<listcomp>)
72438/72397    0.022    0.000    0.036    0.000 {built-in method builtins.hasattr}
     2539    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap>:392(cached)
     1375    0.002    0.000    0.036    0.000 scanner.py:668(fetch_plain)
    44609    0.030    0.000    0.036    0.000 __init__.py:99(check_in_list)
        1    0.000    0.000    0.035    0.035 products.py:1(<module>)
     3698    0.004    0.000    0.035    0.000 colors.py:221(is_color_like)
     1488    0.006    0.000    0.035    0.000 ticker.py:217(<listcomp>)
      806    0.021    0.000    0.035    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.035    0.035 workload_factory.py:43(create)
       93    0.001    0.000    0.034    0.000 pyplot.py:1080(gcf)
        1    0.000    0.000    0.034    0.034 datatypes.py:1(<module>)
       31    0.000    0.000    0.034    0.001 workload_factory.py:67(create)
      558    0.005    0.000    0.034    0.000 bezier.py:283(axis_aligned_extrema)
     1293    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       31    0.004    0.000    0.034    0.001 print_mapping.py:10(get_temporal_spatial_loops)
   109626    0.034    0.000    0.034    0.000 Mapping.py:47(<listcomp>)
     1922    0.017    0.000    0.034    0.000 transforms.py:2834(nonsingular)
       31    0.001    0.000    0.034    0.001 pyplot.py:870(figure)
    18271    0.026    0.000    0.033    0.000 MemoryAllocator.py:50(<dictcomp>)
       31    0.001    0.000    0.033    0.001 _base.py:813(_init_axis)
      561    0.001    0.000    0.033    0.000 parser.py:476(parse_flow_sequence_entry)
 11210/32    0.014    0.000    0.033    0.001 utils.py:36(json_repr_handler)
      979    0.001    0.000    0.033    0.000 __init__.py:715(__setitem__)
      297    0.001    0.000    0.033    0.000 _compiler.py:573(_code)
    18333    0.027    0.000    0.033    0.000 SpatialMappingInternal.py:86(<dictcomp>)
      279    0.003    0.000    0.033    0.000 patches.py:48(__init__)
       31    0.000    0.000    0.033    0.001 cost_model.py:194(__jsonrepr__)
     8959    0.005    0.000    0.033    0.000 figure.py:65(_stale_figure_callback)
  1054/31    0.003    0.000    0.032    0.001 utils.py:52(<dictcomp>)
       62    0.001    0.000    0.032    0.001 patches.py:623(draw)
        1    0.000    0.000    0.032    0.032 python_message.py:1(<module>)
    18333    0.026    0.000    0.032    0.000 SpatialMappingInternal.py:89(<dictcomp>)
        1    0.000    0.000    0.032    0.032 AcceleratorValidator.py:1(<module>)
      136    0.001    0.000    0.032    0.000 _docstring.py:66(__call__)
       10    0.000    0.000    0.032    0.003 __init__.py:108(import_module)
    11/10    0.000    0.000    0.032    0.003 <frozen importlib._bootstrap>:1192(_gcd_import)
       31    0.000    0.000    0.031    0.001 pyplot.py:547(new_figure_manager)
     1581    0.005    0.000    0.031    0.000 transforms.py:814(from_extents)
  126/115    0.000    0.000    0.031    0.000 _docstring.py:107(__call__)
      279    0.003    0.000    0.031    0.000 patches.py:3248(__call__)
    13580    0.010    0.000    0.031    0.000 contextlib.py:299(helper)
     1550    0.005    0.000    0.031    0.000 axis.py:493(update_position)
3410/3379    0.011    0.000    0.031    0.000 transforms.py:1787(__eq__)
      744    0.007    0.000    0.030    0.000 ticker.py:730(_compute_offset)
       62    0.000    0.000    0.030    0.000 collections.py:1002(draw)
  776/687    0.002    0.000    0.030    0.000 typing.py:373(inner)
    23188    0.021    0.000    0.030    0.000 transforms.py:1779(__init__)
      186    0.003    0.000    0.030    0.000 axis.py:1214(_set_lim)
     1375    0.009    0.000    0.030    0.000 scanner.py:1270(scan_plain)
        1    0.000    0.000    0.030    0.030 Image.py:1(<module>)
     2699    0.002    0.000    0.030    0.000 font_manager.py:622(_from_any)
     1289    0.011    0.000    0.030    0.000 backends.py:327(__new__)
        1    0.000    0.000    0.030    0.030 bsplines.py:1(<module>)
       43    0.000    0.000    0.030    0.001 dispatcher.py:147(_)
        1    0.000    0.000    0.029    0.029 summations.py:1(<module>)
     1613    0.007    0.000    0.029    0.000 parser.py:273(parse_node)
    18333    0.023    0.000    0.029    0.000 SpatialMappingInternal.py:121(<listcomp>)
     5766    0.008    0.000    0.029    0.000 ticker.py:594(__call__)
    18271    0.023    0.000    0.029    0.000 TemporalMapping.py:104(<listcomp>)
3689/3658    0.003    0.000    0.029    0.000 transforms.py:1792(transform)
        1    0.000    0.000    0.028    0.028 temporal_mapping_generator_stage.py:1(<module>)
     4619    0.010    0.000    0.028    0.000 transforms.py:2358(__init__)
     6692    0.019    0.000    0.028    0.000 font_manager.py:645(__hash__)
    54813    0.028    0.000    0.028    0.000 MemoryAllocator.py:161(<listcomp>)
        1    0.000    0.000    0.028    0.028 art3d.py:1(<module>)
       62    0.002    0.000    0.028    0.000 collections.py:349(draw)
      248    0.001    0.000    0.028    0.000 patches.py:644(get_window_extent)
      186    0.000    0.000    0.028    0.000 spatial_mapping.py:293(copy)
        1    0.027    0.027    0.027    0.027 {built-in method _pickle.dump}
    10013    0.027    0.000    0.027    0.000 cbook.py:1834(<dictcomp>)
     6355    0.011    0.000    0.027    0.000 transforms.py:1899(__init__)
     1054    0.002    0.000    0.027    0.000 lines.py:1188(set_marker)
    62/31    0.000    0.000    0.027    0.001 _base.py:3594(set_xbound)
       62    0.000    0.000    0.027    0.000 axis.py:779(_set_scale)
     5710    0.009    0.000    0.027    0.000 fromnumeric.py:69(_wrapreduction)
       31    0.000    0.000    0.027    0.001 layer_node.py:127(__init__)
       31    0.001    0.000    0.027    0.001 backend_bases.py:3500(new_figure_manager)
        1    0.000    0.000    0.027    0.027 power.py:1(<module>)
        1    0.000    0.000    0.026    0.026 matmul.py:1(<module>)
     2666    0.007    0.000    0.026    0.000 markers.py:250(_recache)
       62    0.001    0.000    0.026    0.000 scale.py:103(set_default_locators_and_formatters)
       86    0.000    0.000    0.026    0.000 conflict.py:24(ambiguities)
        1    0.000    0.000    0.026    0.026 request.py:1(<module>)
       86    0.005    0.000    0.026    0.000 conflict.py:27(<setcomp>)
       86    0.001    0.000    0.026    0.000 conflict.py:56(ordering)
     8483    0.016    0.000    0.026    0.000 inspect.py:2669(__init__)
    20358    0.013    0.000    0.026    0.000 scanner.py:145(need_more_tokens)
    35869    0.026    0.000    0.026    0.000 {built-in method numpy.asarray}
     2325    0.007    0.000    0.025    0.000 path.py:347(iter_segments)
4030/3999    0.007    0.000    0.025    0.000 transforms.py:1859(transform_affine)
     3162    0.004    0.000    0.025    0.000 lines.py:647(set_data)
    18271    0.019    0.000    0.025    0.000 MemoryAllocator.py:70(<dictcomp>)
      218    0.014    0.000    0.025    0.000 artist.py:1450(<listcomp>)
      555    0.001    0.000    0.025    0.000 Core.py:35(get_memory_level)
     3069    0.011    0.000    0.025    0.000 fromnumeric.py:41(_wrapit)
       11    0.000    0.000    0.024    0.002 _docstring.py:79(__missing__)
       34    0.000    0.000    0.024    0.001 core.py:59(_)
   114319    0.022    0.000    0.024    0.000 {method 'extend' of 'list' objects}
1798/1767    0.005    0.000    0.024    0.000 transforms.py:1118(get_points)
      248    0.003    0.000    0.024    0.000 path.py:607(get_extents)
    18271    0.018    0.000    0.024    0.000 MemoryAllocator.py:75(<dictcomp>)
     7812    0.011    0.000    0.024    0.000 lines.py:1294(set_ydata)
       31    0.003    0.000    0.024    0.001 figure.py:2406(__init__)
        1    0.000    0.000    0.024    0.024 loader.py:1(<module>)
     7781    0.022    0.000    0.023    0.000 transforms.py:182(set_children)
     4464    0.017    0.000    0.023    0.000 font_manager.py:821(set_size)
     2570    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.023    0.023 ONNXModelParserStage.py:1(<module>)
    73084    0.023    0.000    0.023    0.000 MemoryAllocator.py:281(<listcomp>)
        3    0.000    0.000    0.023    0.008 eigen.py:1(<module>)
     9443    0.008    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      202    0.000    0.000    0.023    0.000 utils.py:57(mapping_hash)
      555    0.002    0.000    0.023    0.000 Core.py:38(<listcomp>)
    18271    0.017    0.000    0.023    0.000 TemporalMapping.py:59(<dictcomp>)
      744    0.007    0.000    0.023    0.000 ticker.py:769(_set_order_of_magnitude)
 1084/202    0.008    0.000    0.023    0.000 utils.py:61(mapping_to_frozenset)
     3286    0.003    0.000    0.022    0.000 colors.py:240(_check_color_like)
     8990    0.006    0.000    0.022    0.000 pyplot.py:1059(_auto_draw_if_interactive)
        1    0.000    0.000    0.022    0.022 _axes.py:65(Axes)
    62/31    0.000    0.000    0.022    0.001 _base.py:3578(get_xbound)
        1    0.000    0.000    0.022    0.022 plot.py:1(<module>)
        2    0.000    0.000    0.022    0.011 basic.py:1(<module>)
    62/31    0.000    0.000    0.022    0.001 _base.py:3628(get_xlim)
    54813    0.022    0.000    0.022    0.000 TemporalMapping.py:58(<listcomp>)
        1    0.000    0.000    0.022    0.022 ONNXModelParser.py:1(<module>)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
 1693/297    0.008    0.000    0.022    0.000 _compiler.py:37(_compile)
       31    0.001    0.000    0.022    0.001 _base.py:2281(add_collection)
      225    0.001    0.000    0.022    0.000 function.py:162(__init__)
       93    0.002    0.000    0.022    0.000 nx_pylab.py:599(__call__)
        2    0.000    0.000    0.022    0.011 utilities.py:1(<module>)
20168/19724    0.014    0.000    0.022    0.000 {built-in method __new__ of type object at 0x7fcde255ba60}
       60    0.000    0.000    0.022    0.000 __init__.py:833(_open_file_or_url)
        2    0.000    0.000    0.021    0.011 intersection.py:1(<module>)
     1178    0.001    0.000    0.021    0.000 transforms.py:239(__array__)
   137632    0.021    0.000    0.021    0.000 {method 'copy' of 'list' objects}
       62    0.001    0.000    0.021    0.000 axis.py:632(__init__)
27232/21075    0.009    0.000    0.021    0.000 encoder.py:278(_iterencode_list)
     1098    0.001    0.000    0.021    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
    33152    0.015    0.000    0.021    0.000 _function_base_impl.py:343(iterable)
        1    0.000    0.000    0.021    0.021 text_format.py:1(<module>)
      341    0.001    0.000    0.021    0.000 transforms.py:1603(transform_path)
     2201    0.003    0.000    0.021    0.000 transforms.py:795(unit)
        1    0.000    0.000    0.021    0.021 geo.py:1(<module>)
       31    0.000    0.000    0.021    0.001 _base.py:1201(_gen_axes_spines)
       86    0.003    0.000    0.021    0.000 conflict.py:62(<listcomp>)
    13580    0.018    0.000    0.021    0.000 contextlib.py:104(__init__)
       31    0.000    0.000    0.021    0.001 _base.py:1216(<dictcomp>)
     7796    0.013    0.000    0.020    0.000 {method 'format' of 'str' objects}
      124    0.001    0.000    0.020    0.000 spines.py:432(linear_spine)
        1    0.000    0.000    0.020    0.020 simplify.py:1(<module>)
       31    0.000    0.000    0.020    0.001 Image.py:637(_ensure_mutable)
    18271    0.016    0.000    0.020    0.000 cost_model.py:994(<dictcomp>)
     5436    0.011    0.000    0.020    0.000 __init__.py:64(check_isinstance)
       31    0.000    0.000    0.020    0.001 Image.py:631(_copy)
        3    0.000    0.000    0.020    0.007 solvers.py:1(<module>)
        1    0.000    0.000    0.020    0.020 category.py:1(<module>)
     1488    0.002    0.000    0.020    0.000 fromnumeric.py:2178(clip)
       31    0.020    0.001    0.020    0.001 {method 'copy' of 'ImagingCore' objects}
   127897    0.020    0.000    0.020    0.000 data_movement.py:55(get_total_read_outs_to_above)
     4112    0.010    0.000    0.020    0.000 __init__.py:132(check_shape)
     9670    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
    20606    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
      744    0.001    0.000    0.019    0.000 patches.py:924(get_bbox)
     5766    0.007    0.000    0.019    0.000 ticker.py:536(_format_maybe_minus_and_locale)
        3    0.000    0.000    0.019    0.006 transforms.py:1(<module>)
      357    0.002    0.000    0.019    0.000 colors.py:322(_to_rgba_no_colorcycle)
 1798/651    0.002    0.000    0.019    0.000 utils.py:56(<listcomp>)
    54813    0.019    0.000    0.019    0.000 MemoryAllocator.py:158(<listcomp>)
      806    0.019    0.000    0.019    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.019    0.009 random.py:1(<module>)
      837    0.001    0.000    0.019    0.000 transforms.py:805(from_bounds)
        2    0.000    0.000    0.019    0.009 function.py:1(<module>)
    54813    0.019    0.000    0.019    0.000 TemporalMapping.py:119(<listcomp>)
        1    0.000    0.000    0.019    0.019 LomaEngine.py:1(<module>)
     2106    0.001    0.000    0.019    0.000 font_manager.py:656(__eq__)
   127897    0.019    0.000    0.019    0.000 data_movement.py:63(get_total_write_ins_from_above)
   108009    0.018    0.000    0.018    0.000 {function RcParams.__getitem__ at 0x7fcd794528e0}
     5766    0.018    0.000    0.018    0.000 transforms.py:2914(_interval_contains_close)
    73084    0.018    0.000    0.018    0.000 TemporalMapping.py:105(<genexpr>)
        1    0.000    0.000    0.018    0.018 offsetbox.py:1(<module>)
      682    0.002    0.000    0.018    0.000 text.py:342(update_from)
        1    0.000    0.000    0.018    0.018 axis.py:1(<module>)
      451    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
      126    0.001    0.000    0.018    0.000 __init__.py:1610(_log)
      225    0.001    0.000    0.018    0.000 function.py:122(arity)
        1    0.000    0.000    0.018    0.018 algebraicfield.py:1(<module>)
     5923    0.002    0.000    0.018    0.000 conflict.py:19(ambiguous)
   127897    0.018    0.000    0.018    0.000 data_movement.py:67(get_total_write_ins_from_below)
    17853    0.012    0.000    0.018    0.000 enum.py:688(__call__)
     1705    0.005    0.000    0.018    0.000 text.py:985(set_color)
   127897    0.018    0.000    0.018    0.000 data_movement.py:59(get_total_read_outs_to_below)
        1    0.000    0.000    0.018    0.018 textpath.py:1(<module>)
    73332    0.018    0.000    0.018    0.000 SpatialMappingInternal.py:122(<genexpr>)
     3627    0.004    0.000    0.018    0.000 artist.py:436(set_transform)
    18271    0.014    0.000    0.018    0.000 cost_model.py:997(<dictcomp>)
    12694    0.004    0.000    0.018    0.000 conflict.py:43(edge)
       78    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1152(_cache_bytecode)
       31    0.000    0.000    0.018    0.001 axis.py:2330(__init__)
     2852    0.003    0.000    0.018    0.000 fromnumeric.py:2925(min)
      186    0.004    0.000    0.017    0.000 _polynomial_impl.py:161(roots)
      409    0.001    0.000    0.017    0.000 rcsetup.py:332(validate_color)
     3906    0.005    0.000    0.017    0.000 artist.py:727(set_figure)
        1    0.000    0.000    0.017    0.017 font_manager.py:1(<module>)
     1581    0.002    0.000    0.017    0.000 fromnumeric.py:214(reshape)
     3689    0.003    0.000    0.017    0.000 {method 'all' of 'numpy.ndarray' objects}
       93    0.001    0.000    0.017    0.000 patches.py:4141(__init__)
      124    0.001    0.000    0.017    0.000 spines.py:35(__init__)
     4112    0.007    0.000    0.017    0.000 path.py:202(_update_values)
     1705    0.009    0.000    0.017    0.000 artist.py:1152(update_from)
     1023    0.001    0.000    0.017    0.000 copy.py:237(_deepcopy_method)
       62    0.000    0.000    0.017    0.000 SpatialMappingGeneratorStage.py:125(generate_spatial_mappings)
       62    0.013    0.000    0.017    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    18271    0.017    0.000    0.017    0.000 MemoryAllocator.py:48(<listcomp>)
    18271    0.013    0.000    0.017    0.000 cost_model.py:998(<dictcomp>)
    23436    0.014    0.000    0.017    0.000 weakref.py:451(get)
      279    0.001    0.000    0.017    0.000 axis.py:425(_apply_tickdir)
     1206    0.005    0.000    0.017    0.000 decorators.py:767(__call__)
        1    0.000    0.000    0.017    0.017 lines.py:1(<module>)
       31    0.000    0.000    0.017    0.001 layer_node.py:55(create_pr_decoupled_relevancy_info)
    18271    0.013    0.000    0.017    0.000 cost_model.py:999(<dictcomp>)
    23272    0.013    0.000    0.017    0.000 {method 'remove' of 'list' objects}
       78    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1157(set_data)
     8991    0.005    0.000    0.016    0.000 __init__.py:1291(is_interactive)
       62    0.000    0.000    0.016    0.000 ticker.py:447(__init__)
     56/2    0.000    0.000    0.016    0.008 validator.py:690(__normalize_mapping)
       95    0.000    0.000    0.016    0.000 __init__.py:1479(info)
       30    0.001    0.000    0.016    0.001 std.py:952(__init__)
     9623    0.008    0.000    0.016    0.000 colors.py:216(_is_nth_color)
     1116    0.010    0.000    0.016    0.000 bezier.py:199(__init__)
      620    0.001    0.000    0.016    0.000 backend_bases.py:635(new_gc)
        1    0.000    0.000    0.016    0.016 scale.py:1(<module>)
      341    0.001    0.000    0.016    0.000 transforms.py:1612(transform_path_affine)
       31    0.000    0.000    0.016    0.001 Image.py:348(preinit)
    54813    0.016    0.000    0.016    0.000 TemporalMapping.py:123(<listcomp>)
       62    0.001    0.000    0.015    0.000 ticker.py:559(set_useMathText)
      279    0.006    0.000    0.015    0.000 patches.py:3415(transmute)
      633    0.002    0.000    0.015    0.000 validator.py:1443(__validate_required_fields)
        1    0.000    0.000    0.015    0.015 polar.py:1(<module>)
     1339    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:169(__enter__)
    10166    0.012    0.000    0.015    0.000 {method '__reduce_ex__' of 'object' objects}
      447    0.001    0.000    0.015    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.015    0.015 ode.py:1(<module>)
      620    0.005    0.000    0.015    0.000 backend_bases.py:711(__init__)
     1580    0.011    0.000    0.015    0.000 inspect.py:2955(__init__)
       78    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
       60    0.000    0.000    0.015    0.000 std.py:1265(close)
        1    0.000    0.000    0.015    0.015 traveling_salesman.py:1(<module>)
       94    0.001    0.000    0.015    0.000 __init__.py:1399(_preprocess_data)
    18271    0.011    0.000    0.015    0.000 layer_attributes.py:123(layer_and_mem_ops)
    15430    0.010    0.000    0.015    0.000 conflict.py:7(supercedes)
    35526    0.015    0.000    0.015    0.000 transforms.py:113(__init__)
     1178    0.007    0.000    0.015    0.000 font_manager.py:1531(get_font)
        1    0.000    0.000    0.015    0.015 polyclasses.py:1(<module>)
      248    0.001    0.000    0.015    0.000 axis.py:482(_apply_tickdir)
     5923    0.007    0.000    0.015    0.000 conflict.py:12(consistent)
      124    0.000    0.000    0.015    0.000 text.py:591(set_clip_path)
     3689    0.002    0.000    0.015    0.000 _methods.py:67(_all)
     4030    0.014    0.000    0.015    0.000 {built-in method matplotlib._path.affine_transform}
     1488    0.012    0.000    0.015    0.000 ticker.py:1925(scale_range)
        1    0.000    0.000    0.015    0.015 exponential.py:1(<module>)
      379    0.007    0.000    0.014    0.000 typing.py:1376(__init__)
   102684    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
       62    0.001    0.000    0.014    0.000 backend_agg.py:392(get_renderer)
        1    0.000    0.000    0.014    0.014 kernighan_lin.py:1(<module>)
       31    0.000    0.000    0.014    0.000 Accelerator.py:20(__jsonrepr__)
       31    0.000    0.000    0.014    0.000 axis.py:2568(__init__)
        1    0.000    0.000    0.014    0.014 ConvParser.py:1(<module>)
2232/2108    0.008    0.000    0.014    0.000 spines.py:339(get_spine_transform)
     2728    0.003    0.000    0.014    0.000 fromnumeric.py:2781(max)
        2    0.003    0.002    0.014    0.007 font_manager.py:1398(_findfont_cached)
     9986    0.005    0.000    0.014    0.000 copy.py:264(<genexpr>)
     5456    0.003    0.000    0.014    0.000 {method 'max' of 'numpy.ndarray' objects}
    19257    0.014    0.000    0.014    0.000 __init__.py:1734(isEnabledFor)
     2542    0.002    0.000    0.014    0.000 axis.py:1793(convert_units)
        1    0.000    0.000    0.014    0.014 image.py:1(<module>)
        2    0.000    0.000    0.014    0.007 platform.py:1(<module>)
     2976    0.002    0.000    0.014    0.000 fromnumeric.py:3360(round)
     6696    0.003    0.000    0.014    0.000 axis.py:771(get_transform)
        2    0.000    0.000    0.014    0.007 domainmatrix.py:1(<module>)
      677    0.003    0.000    0.014    0.000 validator.py:315(_get_child_validator)
       31    0.000    0.000    0.014    0.000 Core.py:120(__jsonrepr__)
     1246    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1147(path_stats)
     3441    0.003    0.000    0.014    0.000 artist.py:269(convert_xunits)
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
     7440    0.006    0.000    0.013    0.000 font_manager.py:1294(<genexpr>)
        1    0.000    0.000    0.013    0.013 _parser.py:1(<module>)
       31    0.001    0.000    0.013    0.000 collections.py:239(get_datalim)
    15810    0.010    0.000    0.013    0.000 copy.py:243(_keep_alive)
     5208    0.004    0.000    0.013    0.000 artist.py:1040(set_visible)
     1581    0.002    0.000    0.013    0.000 lines.py:1058(set_color)
     55/3    0.000    0.000    0.013    0.004 validator.py:666(normalized)
  167/138    0.000    0.000    0.013    0.000 typing.py:500(__getitem__)
     4743    0.006    0.000    0.013    0.000 lines.py:1202(_set_markercolor)
     1581    0.007    0.000    0.013    0.000 lines.py:1143(set_linestyle)
     1293    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1603(_get_spec)
        1    0.000    0.000    0.013    0.013 __init__.py:323(__getattr__)
26633/26624    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.013    0.013 pretty.py:1(<module>)
        1    0.000    0.000    0.013    0.013 PngImagePlugin.py:1(<module>)
      970    0.001    0.000    0.013    0.000 artist.py:1542(is_alias)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
        2    0.000    0.000    0.013    0.006 __init__.py:12(__getattr__)
    18333    0.013    0.000    0.013    0.000 SpatialMappingInternal.py:182(<listcomp>)
     7440    0.005    0.000    0.013    0.000 scale.py:115(get_transform)
        1    0.000    0.000    0.013    0.013 cm.py:1(<module>)
     9443    0.010    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      138    0.001    0.000    0.013    0.000 typing.py:679(Union)
    31358    0.009    0.000    0.013    0.000 {built-in method builtins.setattr}
      364    0.001    0.000    0.013    0.000 _itertools.py:4(unique_everseen)
        1    0.000    0.000    0.013    0.013 limits.py:1(<module>)
     6474    0.013    0.000    0.013    0.000 std.py:231(__call__)
        1    0.000    0.000    0.013    0.013 external_data_helper.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ticker.py:1(<module>)
     1457    0.001    0.000    0.012    0.000 text.py:1098(set_fontsize)
       31    0.001    0.000    0.012    0.000 cbook.py:1041(_combine_masks)
       31    0.010    0.000    0.012    0.000 backend_agg.py:64(__init__)
      442    0.011    0.000    0.012    0.000 _compiler.py:243(_optimize_charset)
   116200    0.012    0.000    0.012    0.000 {built-in method builtins.id}
     5766    0.004    0.000    0.012    0.000 ticker.py:246(fix_minus)
      651    0.002    0.000    0.012    0.000 path.py:413(iter_bezier)
23316/23146    0.011    0.000    0.012    0.000 {method 'update' of 'dict' objects}
    73968    0.012    0.000    0.012    0.000 digraph.py:1232(is_directed)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
       62    0.001    0.000    0.012    0.000 figure.py:156(_get_draw_artists)
        1    0.000    0.000    0.012    0.012 chordal.py:1(<module>)
     1116    0.002    0.000    0.012    0.000 transforms.py:2008(rotate_deg)
     2635    0.002    0.000    0.012    0.000 axis.py:323(_set_artist_props)
     1199    0.001    0.000    0.012    0.000 {method 'sort' of 'list' objects}
     3007    0.005    0.000    0.012    0.000 font_manager.py:743(set_style)
      103    0.003    0.000    0.012    0.000 artist.py:170(<listcomp>)
    11656    0.006    0.000    0.012    0.000 text.py:1195(set_x)
      372    0.001    0.000    0.012    0.000 text.py:239(_get_xy_display)
        1    0.000    0.000    0.012    0.012 betweenness.py:1(<module>)
     2542    0.003    0.000    0.012    0.000 units.py:56(_is_natively_supported)
     1134    0.010    0.000    0.012    0.000 std.py:1446(format_dict)
