Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   164439    1.092    0.000    2.421    0.000 cost_model.py:870(calc_loading_single_port)
   109626    0.416    0.000    2.391    0.000 Mapping.py:213(<listcomp>)
       31    0.001    0.000    2.380    0.077 figure.py:3239(savefig)
       31    0.001    0.000    2.379    0.077 backend_bases.py:2063(print_figure)
       31    0.000    0.000    2.365    0.076 backend_bases.py:2054(<lambda>)
       31    0.000    0.000    2.365    0.076 backend_agg.py:449(print_png)
       31    0.001    0.000    2.365    0.076 backend_agg.py:439(_print_pil)
    36542    0.128    0.000    2.242    0.000 Mapping.py:273(calc_data_size)
    18271    0.479    0.000    2.234    0.000 TemporalMapping.py:48(innermost_stationary_loop_merge_down)
    73084    2.229    0.000    2.229    0.000 cost_model.py:831(<dictcomp>)
    18271    0.905    0.000    2.226    0.000 cost_model.py:416(calc_memory_utilization)
   365420    0.889    0.000    2.116    0.000 Mapping.py:176(<listcomp>)
  2628986    1.322    0.000    2.016    0.000 layer_node.py:46(get_ir_layer_dims)
   365420    0.825    0.000    2.014    0.000 Mapping.py:189(<listcomp>)
    18271    1.221    0.000    1.971    0.000 cost_model.py:473(calc_memory_word_access)
  2464716    1.262    0.000    1.916    0.000 layer_node.py:43(get_r_layer_dims)
   365420    0.747    0.000    1.855    0.000 Mapping.py:202(<listcomp>)
    18271    1.290    0.000    1.849    0.000 cost_model.py:692(calc_allowed_and_real_data_transfer_cycle_per_data_transfer_link)
   365420    0.733    0.000    1.824    0.000 Mapping.py:215(<listcomp>)
    36542    0.263    0.000    1.817    0.000 Mapping.py:640(disable_data_traffic_external)
       62    0.004    0.000    1.712    0.028 _base.py:3011(_update_title_position)
  2506781    1.165    0.000    1.699    0.000 LayerAttribute.py:23(__contains__)
    73084    0.116    0.000    1.666    0.000 cost_model.py:989(<dictcomp>)
  2347711    1.164    0.000    1.662    0.000 LayerAttribute.py:20(__getitem__)
    18333    0.093    0.000    1.609    0.000 SpatialMappingInternal.py:108(calc_unit_count)
      248    0.004    0.000    1.601    0.006 axis.py:1355(get_tightbbox)
   683017    0.567    0.000    1.564    0.000 memory_level.py:155(__eq__)
   164439    0.920    0.000    1.528    0.000 cost_model.py:921(calc_offloading_single_port)
   219252    0.456    0.000    1.493    0.000 data_movement.py:213(update_single_dir_data)
